一嘉動物醫院,07-3318123,80243,高雄市苓雅區興中一路383號
人人動物醫院,07-7830515,83154,高雄市大寮區鳳林三路827號
人愛動物醫院,07-2371276,80048,高雄市新興區六合一路30號
十銓動物醫院,07-3113797,80752,高雄市三民區十全二路99號
三和台大動物醫院,07-3383828,80253,高雄市苓雅區光華一路23號
上揚動物醫院,07-3391010,80242,高雄市苓雅區林森二路7之2號
凡賽爾動物醫院,07-7613995,83092,高雄市鳳山區五甲二路399號
大其動物醫院,07-5584913,81357,高雄市左營區嘉慶街46號
大社家畜醫院,07-3517741,81541,高雄市大社區三民路244號
大眾動物醫院,07-6255802,82050,高雄市岡山區大義二路72號
